ticket_id,description,category
1,"My internet keeps disconnecting every 5 minutes. I've restarted my router twice but still having issues.","network_issues"
2,"I was charged twice for my monthly subscription. Please refund the extra charge.","billing"
3,"The login page shows 'invalid credentials' even though I'm using the correct password.","account_access"
4,"Can you help me reset my password? I forgot my old password.","account_access"
5,"The app crashes when I try to upload a profile picture.","technical_bug"
6,"I want to upgrade my plan from Basic to Premium. How do I do that?","subscription"
7,"Your service is too slow. Loading times are over 10 seconds.","performance"
8,"I didn't receive the welcome email after signing up.","account_access"
9,"The payment gateway shows error code 404.","billing"
10,"How do I delete my account? I want to cancel my subscription.","subscription"
11,"Your mobile app doesn't work on Android 14. It crashes on startup.","technical_bug"
12,"I need help setting up API integration for my website.","api_support"
13,"My data isn't syncing across devices.","technical_bug"
14,"I was promised a discount but it wasn't applied to my bill.","billing"
15,"The search feature returns no results even for existing items.","technical_bug"
